model,episode_idx,frames,episode_total_s,obs_s,inference_s,action_s,wait_s,obs_pct,inference_pct,action_pct,wait_pct
teleop,68,618,21.665655,4.047744,2.590680,1.358130,13.669101,18.682769,11.957541,6.268585,63.091105
teleop,68,344,12.029773,2.448455,1.498485,0.845461,7.237372,20.353298,12.456470,7.028069,60.162164
teleop,68,381,13.360888,2.097074,1.640908,0.921936,8.700970,15.695619,12.281428,6.900260,65.122693
teleop,68,747,26.135589,5.169116,3.247975,1.624639,16.093859,19.778075,12.427402,6.216193,61.578330
teleop,69,820,28.801022,5.014603,3.504261,2.067729,18.214428,17.411198,12.167142,7.179361,63.242298
teleop,70,686,24.097935,4.634904,3.066684,1.708851,14.687497,19.233615,12.725920,7.091274,60.949191
teleop,71,760,26.617802,4.592177,3.136597,1.882281,17.006748,17.252276,11.783830,7.071512,63.892382
teleop,72,702,24.695556,5.088438,2.901548,1.680619,15.024951,20.604669,11.749271,6.805351,60.840709
teleop,73,691,24.388999,4.775126,3.030928,1.807636,14.775309,19.579017,12.427440,7.411686,60.581857
teleop,73,529,18.705751,4.443588,2.249113,1.296247,10.716803,23.755197,12.023647,6.929670,57.291486
teleop,73,481,16.857923,3.045483,2.053160,1.237553,10.521727,18.065587,12.179197,7.341077,62.414139
teleop,73,672,23.456761,3.813841,2.914517,1.600960,15.127443,16.259027,12.425060,6.825153,64.490760
teleop,74,629,22.155788,3.771745,2.654442,1.796096,13.933504,17.023747,11.980808,8.106668,62.888777
teleop,75,733,25.720609,5.330834,3.208258,1.513224,15.668293,20.725926,12.473491,5.883312,60.917272
teleop,76,663,23.196008,4.917250,3.064864,1.510254,13.703640,21.198690,13.212894,6.510837,59.077579
teleop,77,514,18.115667,3.575018,2.229310,1.198017,11.113323,19.734399,12.305977,6.613152,61.346472
teleop,77,625,21.678752,5.087879,2.709949,1.240022,12.640903,23.469428,12.500482,5.719986,58.310104
teleop,78,236,8.205200,1.691991,1.101844,0.598285,4.813081,20.620956,13.428610,7.291529,58.658905
teleop,78,783,27.350180,5.340521,3.374245,1.639874,16.995540,19.526456,12.337194,5.995845,62.140505
teleop,79,360,12.534974,2.876299,1.642007,0.807728,7.208941,22.946188,13.099403,6.443793,57.510617
teleop,79,340,11.929097,2.228057,1.415448,0.711676,7.573917,18.677501,11.865504,5.965879,63.491115
teleop,79,656,22.856740,4.188552,2.906417,1.355194,14.406578,18.325238,12.715796,5.929079,63.029887
teleop,80,379,13.253211,3.429015,1.610105,0.723673,7.490417,25.873091,12.148793,5.460362,56.517754
teleop,80,805,28.247923,6.037728,3.674399,1.817427,16.718369,21.374060,13.007678,6.433842,59.184420
teleop,81,235,8.148282,1.673789,0.910728,0.534345,5.029420,20.541624,11.176936,6.557759,61.723681
teleop,81,243,8.446729,1.368658,1.002995,0.639762,5.435314,16.203410,11.874355,7.574081,64.348154
teleop,81,801,27.928576,4.917566,3.478187,1.859707,17.673115,17.607652,12.453863,6.658798,63.279687
teleop,82,449,15.728839,3.629584,1.915773,1.118330,9.065152,23.075980,12.180005,7.110060,57.633955
teleop,82,580,20.263906,4.898275,2.424855,1.260774,11.680003,24.172412,11.966375,6.221770,57.639442
teleop,82,418,14.901839,3.068428,2.014063,1.006909,8.812439,20.590935,13.515535,6.756943,59.136587
teleop,82,705,24.660809,5.106526,3.208331,1.602828,14.743125,20.707048,13.009837,6.499493,59.783621
teleop,83,646,22.575574,5.242802,2.528267,1.353917,13.450588,23.223338,11.199128,5.997265,59.580270
teleop,84,509,17.779328,4.097055,2.294349,1.141577,10.246347,23.043925,12.904587,6.420808,57.630679
teleop,84,58,2.034794,0.269037,0.276697,0.102898,1.386162,13.221852,13.598275,5.056901,68.122973
teleop,84,346,12.070264,1.950862,1.658363,0.846064,7.614974,16.162545,13.739247,7.009495,63.088714
teleop,84,825,28.905335,5.947751,3.715742,1.770587,17.471254,20.576656,12.854865,6.125469,60.443009
teleop,85,648,22.719223,5.359092,2.693292,1.365516,13.301323,23.588357,11.854684,6.010401,58.546557
teleop,86,589,20.505408,4.067845,2.474974,1.488859,12.473729,19.837915,12.069858,7.260813,60.831413
teleop,87,734,25.607134,4.873431,3.232125,1.799201,15.702377,19.031537,12.621970,7.026169,61.320324
teleop,88,707,24.634236,5.584607,3.141801,1.600155,14.307674,22.670104,12.753798,6.495655,58.080444
teleop,89,764,27.200059,7.152756,3.183703,1.588484,15.275118,26.296838,11.704763,5.840000,56.158398
teleop,90,623,21.785662,4.584726,2.867981,1.453116,12.879839,21.044696,13.164535,6.670055,59.120714
teleop,91,703,25.086193,5.952947,3.054957,1.450804,14.627485,23.729975,12.177843,5.783277,58.308905
teleop,92,691,24.288562,4.604475,2.955343,1.657509,15.071235,18.957379,12.167634,6.824235,62.050752
teleop,93,304,10.849705,2.749802,1.174279,0.578494,6.347130,25.344483,10.823144,5.331891,58.500482
teleop,93,624,23.445882,6.408317,3.032188,1.551577,12.453800,27.332379,12.932709,6.617695,53.117217
teleop,94,493,18.111179,3.550954,2.295093,1.295473,10.969658,19.606423,12.672247,7.152894,60.568435
teleop,94,486,17.019405,4.423453,2.072471,0.970387,9.553094,25.990641,12.177107,5.701652,56.130600
teleop,94,78,2.721068,0.571060,0.348347,0.182766,1.618895,20.986594,12.801853,6.716706,59.494847
teleop,94,253,8.893180,1.912048,1.085881,0.657682,5.237570,21.500165,12.210263,7.395349,58.894223
teleop,94,681,27.114328,7.063073,3.096786,1.677494,15.276975,26.049226,11.421218,6.186744,56.342813
teleop,95,699,24.658468,5.203702,3.088777,1.565228,14.800762,21.103103,12.526231,6.347629,60.023038
teleop,96,447,15.809139,3.156003,2.162121,1.073253,9.417762,19.963153,13.676398,6.788815,59.571634
teleop,96,603,21.113004,4.503733,2.631229,1.240199,12.737844,21.331558,12.462600,5.874099,60.331744
teleop,97,581,20.556831,4.251296,2.612197,1.344978,12.348361,20.680698,12.707196,6.542729,60.069378
teleop,98,199,7.023129,1.223529,1.005701,0.474554,4.319345,17.421429,14.319845,6.757011,61.501715
teleop,98,713,24.788039,5.114177,3.271103,1.554617,14.848142,20.631634,13.196298,6.271640,59.900428
teleop,99,701,24.362104,4.486307,2.988380,1.553500,15.333917,18.415105,12.266512,6.376705,62.941678
teleop,100,248,8.659492,1.892066,1.012769,0.622522,5.132136,21.849620,11.695475,7.188894,59.266011
teleop,100,656,23.004625,4.897580,2.893463,1.473658,13.739924,21.289544,12.577744,6.405922,59.726790
teleop,101,653,22.727386,4.865991,2.756261,1.484610,13.620524,21.410255,12.127487,6.532250,59.930008
teleop,102,268,9.312224,1.387228,1.067933,0.568792,6.288271,14.896852,11.468072,6.108018,67.527057
teleop,102,669,23.346269,4.811110,3.006894,1.484163,14.044102,20.607617,12.879548,6.357175,60.155661
teleop,103,704,24.647845,5.185228,3.317580,1.534516,14.610521,21.037247,13.459919,6.225761,59.277072
teleop,104,486,17.314572,5.228305,1.930095,1.108861,9.047311,30.195981,11.147226,6.404209,52.252584
teleop,104,796,27.819201,6.025650,3.586809,1.754554,16.452188,21.660041,12.893284,6.306988,59.139687
teleop,104,240,8.681189,2.203767,1.311926,0.797584,4.367913,25.385543,15.112282,9.187495,50.314680
teleop,154,408,14.504683,2.734956,1.676215,1.036006,9.057507,18.855677,11.556368,7.142559,62.445396
teleop,154,619,21.714255,5.044437,2.578587,1.479991,12.611239,23.230993,11.875088,6.815760,58.078160
teleop,155,702,24.651965,4.706463,2.942226,1.786487,15.216789,19.091635,11.935055,7.246836,61.726474
teleop,155,418,14.823209,2.669323,1.747489,0.945498,9.460899,18.007729,11.788870,6.378496,63.824904
teleop,155,660,23.264843,4.507914,2.656511,1.646346,14.454072,19.376508,11.418563,7.076539,62.128390
teleop,156,694,24.460765,4.557756,2.776119,1.746303,15.380588,18.632924,11.349272,7.139201,62.878603
teleop,157,678,23.696580,5.054872,2.634124,1.596817,14.410767,21.331651,11.116053,6.738597,60.813699
teleop,161,222,7.938046,1.606371,0.822298,0.423225,5.086152,20.236352,10.358950,5.331598,64.073099
teleop,161,503,18.232372,4.788516,2.270265,1.419681,9.753909,26.263814,12.451838,7.786596,53.497753
teleop,161,716,25.715039,5.257424,3.382762,2.197922,14.876931,20.444940,13.154800,8.547223,57.853038
so101_act_bottle_classification,0,901,60.868779,5.333697,30.598862,1.656588,23.279633,8.762615,50.270208,2.721573,38.245605
so101_act_bottle_classification,1,1144,59.948681,7.589015,21.187661,2.547844,28.624161,12.659186,35.342998,4.250041,47.747775
so101_act_bottle_classification,2,1101,60.769800,8.101556,23.474396,2.357873,26.835974,13.331550,38.628391,3.880008,44.160050
so101_act_bottle_classification_cs50,0,901,60.185696,6.516692,30.036776,2.102429,21.529799,10.827643,49.906835,3.493238,35.772285
so101_act_bottle_classification_cs50,1,901,60.350906,6.283876,30.048078,2.089244,21.929709,10.412231,49.788942,3.461827,36.337000
so101_act_bottle_classification_cs50,2,951,61.300610,7.024355,29.387462,2.079564,22.809229,11.458867,47.939917,3.392404,37.208812
so101_act_bottle_classification_cs50,3,951,60.770068,6.707283,28.936827,2.287972,22.837986,11.037149,47.616907,3.764966,37.580979
so101_act_bottle_classification_cs50,4,901,60.204960,5.896090,29.948220,1.885044,22.475605,9.793363,49.743776,3.131045,37.331817
so101_act_bottle_classification_cs50,5,953,59.929580,6.042885,27.901877,2.078170,23.906647,10.083310,46.557771,3.467687,39.891231
so101_act_bottle_classification_cs50,6,951,60.670751,6.775334,28.966972,2.111043,22.817403,11.167381,47.744541,3.479506,37.608572
so101_act_bottle_classification_cs200,0,1328,59.916527,10.751732,15.092007,3.017389,31.055400,17.944517,25.188388,5.035987,51.831108
so101_act_bottle_classification,3,1163,59.906176,8.240320,20.563609,2.742660,28.359587,13.755376,34.326359,4.578260,47.340006
